community,n,label,accuracy,mean_p_fake
confusing_perspective,1187,fake,0.4717775905644482,0.47617167234420776
savedyouaclick,1598,fake,0.646433041301627,0.6052275896072388
nottheonion,1596,true,0.6666666666666666,0.3606707751750946
usanews,1228,true,0.8273615635179153,0.2106328159570694
usnews,1261,true,0.8406026962727994,0.21077269315719604
