protocol,model,seed,condition,accuracy,macro_f1,precision_fake,recall_fake,f1_fake,brier,ece,auroc,auprc,tn,fp,fn,tp
source,cgf,13,clean,0.6813682678311499,0.6464508956599408,0.6547248182762202,0.4527827648114901,0.5353428146890257,0.25612056255340576,0.21227320023884202,0.7243773142094936,0.6334648932569424,3420,665,1524,1261
source,cgf,13,zero_image,0.5972343522561863,0.5804778850952438,0.5033185840707964,0.49012567324955114,0.49663452792432233,0.31674015522003174,0.26715674581659576,0.6060007603242585,0.5168994118112831,2738,1347,1420,1365
source,cgf,13,zero_text,0.6855895196506551,0.6555760828422244,0.6519202722411278,0.481508078994614,0.5539033457249071,0.25052574276924133,0.2029003913461446,0.7197113404780373,0.6405926422434502,3369,716,1444,1341
source,cgf,13,zero_meta,0.6650655021834061,0.6193419054189298,0.642018779342723,0.392818671454219,0.48741367787926043,0.28024154901504517,0.2523071585122762,0.7313511137871401,0.6085050102870064,3475,610,1691,1094
source,cgf,13,zero_cons,0.6813682678311499,0.6554865339245686,0.6353315168029064,0.5023339317773788,0.5610587527571687,0.25224876403808594,0.1972912627295354,0.7062575565463698,0.6302338461772707,3282,803,1386,1399
source,cgf,42,clean,0.6496360989810771,0.6168726548029592,0.5910404624277457,0.44057450628366246,0.5048343962147707,0.30814144015312195,0.28709516839132393,0.6690936099800249,0.580343219484359,3236,849,1558,1227
source,cgf,42,zero_image,0.5605531295487627,0.5566451033675621,0.46598837209302324,0.5755834829443447,0.5150200803212851,0.37729448080062866,0.35344435361863336,0.5855437746803233,0.4824551020486903,2248,1837,1182,1603
source,cgf,42,zero_text,0.6459970887918486,0.6197168634288848,0.5774462483545415,0.4725314183123878,0.5197472353870458,0.3150416910648346,0.295986153747008,0.6582808760869231,0.5833881940501919,3122,963,1469,1316
source,cgf,42,zero_meta,0.6441048034934498,0.593544940541143,0.6022864019253911,0.35942549371633753,0.4501911400944457,0.31867265701293945,0.30582550763236593,0.681333775757083,0.5713771294438239,3424,661,1784,1001
source,cgf,42,zero_cons,0.6414847161572053,0.6138769980081615,0.5716192170818505,0.4614003590664273,0.5106298430359626,0.31155866384506226,0.2882321313277071,0.6468583006093581,0.5674068024820437,3122,963,1500,1285
source,concat,13,clean,0.6502183406113538,0.6418031287084554,0.5629947229551451,0.6129263913824058,0.5869004641567819,0.2420673370361328,0.15310236840756958,0.7016807561051182,0.5971956377043321,2760,1325,1078,1707
source,concat,13,zero_image,0.4944687045123726,0.48718052877759743,0.4298531810766721,0.7569120287253142,0.5483157757835869,0.33848175406455994,0.28253974936132525,0.5615268014301128,0.44862863667249586,1289,2796,677,2108
source,concat,13,zero_text,0.6698689956331878,0.6186376459936339,0.6649649010848756,0.3741472172351885,0.4788602941176471,0.31063830852508545,0.3016066253726172,0.7136414477804465,0.6261497790741994,3560,525,1743,1042
source,concat,13,zero_meta,0.6502183406113538,0.6418031287084554,0.5629947229551451,0.6129263913824058,0.5869004641567819,0.2420673370361328,0.15310236840756958,0.7016807561051182,0.5971956377043321,2760,1325,1078,1707
source,concat,13,zero_cons,0.6502183406113538,0.6418031287084554,0.5629947229551451,0.6129263913824058,0.5869004641567819,0.2420673370361328,0.15310236840756958,0.7016807561051182,0.5971956377043321,2760,1325,1078,1707
source,concat,42,clean,0.6574963609898108,0.6360685758756734,0.5893300248138957,0.5116696588868941,0.547760907168941,0.2596935033798218,0.1995890944998229,0.7007036735088524,0.583790909970556,3092,993,1360,1425
source,concat,42,zero_image,0.5096069868995633,0.5096024047058276,0.42888455918168533,0.6323159784560144,0.5111014366565085,0.34976115822792053,0.2816542932503413,0.530000637265997,0.41021206268548527,1740,2345,1024,1761
source,concat,42,zero_text,0.6513828238719068,0.6272217216320152,0.5834760273972602,0.4894075403949731,0.5323179066588557,0.3273484408855438,0.32005294400804135,0.6519987957870125,0.5798607087615784,3112,973,1422,1363
source,concat,42,zero_meta,0.6574963609898108,0.6360685758756734,0.5893300248138957,0.5116696588868941,0.547760907168941,0.2596935033798218,0.1995890944998229,0.7007036735088524,0.583790909970556,3092,993,1360,1425
source,concat,42,zero_cons,0.6574963609898108,0.6360685758756734,0.5893300248138957,0.5116696588868941,0.547760907168941,0.2596935033798218,0.1995890944998229,0.7007036735088524,0.583790909970556,3092,993,1360,1425
source,text,13,clean,0.6167394468704512,0.6089598803785876,0.524390243902439,0.5867145421903052,0.5538044399254364,0.25374311208724976,0.1359481239645285,0.6523736400414003,0.5023052114055466,2603,1482,1151,1634
source,text,13,zero_image,0.6167394468704512,0.6089598803785876,0.524390243902439,0.5867145421903052,0.5538044399254364,0.25374311208724976,0.1359481239645285,0.6523736400414003,0.5023052114055466,2603,1482,1151,1634
source,text,13,zero_text,0.4053857350800582,0.28845157949249095,0.4053857350800582,1.0,0.5769031589849819,0.25369611382484436,0.11246335263509072,0.5,0.4053857350800582,0,4085,0,2785
source,text,13,zero_meta,0.6167394468704512,0.6089598803785876,0.524390243902439,0.5867145421903052,0.5538044399254364,0.25374311208724976,0.1359481239645285,0.6523736400414003,0.5023052114055466,2603,1482,1151,1634
source,text,13,zero_cons,0.6167394468704512,0.6089598803785876,0.524390243902439,0.5867145421903052,0.5538044399254364,0.25374311208724976,0.1359481239645285,0.6523736400414003,0.5023052114055466,2603,1482,1151,1634
source,text,42,clean,0.6417758369723435,0.6279791934137341,0.558653149891383,0.5540394973070017,0.5563367586082567,0.24811702966690063,0.1439610837914017,0.6803141062124645,0.5252363264789467,2866,1219,1242,1543
source,text,42,zero_image,0.6417758369723435,0.6279791934137341,0.558653149891383,0.5540394973070017,0.5563367586082567,0.24811702966690063,0.1439610837914017,0.6803141062124645,0.5252363264789467,2866,1219,1242,1543
source,text,42,zero_text,0.4053857350800582,0.28845157949249095,0.4053857350800582,1.0,0.5769031589849819,0.2771420180797577,0.18998402114171303,0.5,0.4053857350800582,0,4085,0,2785
source,text,42,zero_meta,0.6417758369723435,0.6279791934137341,0.558653149891383,0.5540394973070017,0.5563367586082567,0.24811702966690063,0.1439610837914017,0.6803141062124645,0.5252363264789467,2866,1219,1242,1543
source,text,42,zero_cons,0.6417758369723435,0.6279791934137341,0.558653149891383,0.5540394973070017,0.5563367586082567,0.24811702966690063,0.1439610837914017,0.6803141062124645,0.5252363264789467,2866,1219,1242,1543
